rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
88,cate2-00130_jpg.rf.0ee146b78094364024e8a9f6e89577e7.txt,cate2-00130,32,1,33x2,1,35,0,0,False,-,3.05,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.05)"
89,cate2-00130_jpg.rf.a04c1ae2b52610b1a24547b3c5224f99.txt,cate2-00130,32,1,33x2,1,35,0,0,False,-,3.05,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.05)"
90,cate2-00130_jpg.rf.d27b6ece88b1f715deb20945dba90d47.txt,cate2-00130,32,1,33x2,1,35,0,0,False,-,3.05,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.05)"
91,cate10-00054_jpg.rf.d6529a7b6d6e05022a388ac1733026ab.txt,cate10-00054,16,0,-,16,"11, 12, 13, 14, 16, 21, 22, 23, 24, 25, 26, 37, 38, 46, 47, 48",1,0,False,"18: expected image-upper (y<=0.55), got y=0.557",2.8,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.80)"
92,cate8-00263_jpg.rf.e2948b82ed7a240f4b20fbfe79864440.txt,cate8-00263,17,0,-,15,"11, 12, 13, 14, 16, 18, 21, 22, 25, 26, 28, 36, 38, 47, 48",1,0,False,"24: expected image-upper (y<=0.55), got y=0.552",2.75,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.75)"
93,cate5-00103_jpg.rf.f8f4b0b4f50f530621b5495ba388ec47.txt,cate5-00103,23,0,-,9,"14, 15, 16, 34, 36, 37, 46, 47, 48",1,0,False,"38: expected image-lower (y>=0.45), got y=0.436",2.45,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.45)"
94,cate8-00131_jpg.rf.968b09ba8627582babdd1598a72f32dc.txt,cate8-00131,24,0,-,8,"14, 15, 18, 24, 35, 36, 38, 48",1,0,False,"41: expected image-left (x<=0.55), got x=0.566",2.4,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.40)"
95,cate8-00051_jpg.rf.dc01f9a2d611518110f41bf9f67a7ea9.txt,cate8-00051,28,0,-,4,"16, 26, 45, 46",1,0,False,"48: expected image-lower (y>=0.45), got y=0.439",2.2,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.20)"
96,cate10-00077_jpg.rf.6c2522e9df2ab929e83020a8367dae5f.txt,cate10-00077,28,0,-,4,"16, 26, 38, 48",1,0,False,"17: expected image-upper (y<=0.55), got y=0.559",2.2,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.20)"
97,cate7-00008_jpg.rf.88d4e3a33313179d1c3be4014aa9c678.txt,cate7-00008,28,0,-,4,"14, 18, 24, 28",1,0,False,"11: expected image-left (x<=0.55), got x=0.555",2.2,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.20)"
98,cate8-00051_jpg.rf.7fdaa8b122b04dd8bc3fec51b2434902.txt,cate8-00051,28,0,-,4,"16, 26, 45, 46",1,0,False,"48: expected image-lower (y>=0.45), got y=0.448",2.2,single_axis_position,"single_axis_position(+2.0), missing_codes(+0.20)"
99,cate6-00087_jpg.rf.e235d20610b41e54729c8535ce4fab72.txt,cate6-00087,32,0,-,0,-,1,0,False,"26: expected image-upper (y<=0.55), got y=0.554",2.0,single_axis_position,single_axis_position(+2.0)
100,cate2-00126_jpg.rf.ce79bbef8c026e2d73fcc5d177e34588.txt,cate2-00126,32,0,-,0,-,1,0,False,"22: expected image-upper (y<=0.55), got y=0.575",2.0,single_axis_position,single_axis_position(+2.0)
